city_name,month,year,cr_month_sale,last_month_sale,growth_ratio
Hyderabad,5,2023,5900,3050,93.44
Hyderabad,6,2023,4220,5900,-28.47
Hyderabad,7,2023,5670,4220,34.36
Hyderabad,8,2023,3500,5670,-38.27
Hyderabad,9,2023,7450,3500,112.86
Hyderabad,10,2023,9500,7450,27.52
Hyderabad,11,2023,19350,9500,103.68
Hyderabad,12,2023,16210,19350,-16.23
Hyderabad,1,2024,9100,16210,-43.86
Hyderabad,2,2024,9850,9100,8.24
Hyderabad,3,2024,12500,9850,26.9
Hyderabad,4,2024,3550,12500,-71.6
Hyderabad,5,2024,3700,3550,4.23
Hyderabad,6,2024,2750,3700,-25.68
Hyderabad,7,2024,1200,2750,-56.36
Hyderabad,8,2024,2150,1200,79.17
Hyderabad,9,2024,2350,2150,9.3
Indore,2,2023,6570,2950,122.71
Indore,3,2023,6000,6570,-8.68
Indore,4,2023,5720,6000,-4.67
Indore,5,2023,1750,5720,-69.41
Indore,6,2023,6550,1750,274.29
Indore,7,2023,5650,6550,-13.74
Indore,8,2023,3000,5650,-46.9
Indore,9,2023,6400,3000,113.33
Indore,10,2023,11300,6400,76.56
Indore,11,2023,18850,11300,66.81
Indore,12,2023,15520,18850,-17.67
Indore,1,2024,11130,15520,-28.29
Indore,2,2024,9900,11130,-11.05
Indore,3,2024,12050,9900,21.72
Indore,4,2024,2350,12050,-80.5
Indore,5,2024,5300,2350,125.53
Indore,6,2024,2900,5300,-45.28
Indore,7,2024,2100,2900,-27.59
Indore,8,2024,1250,2100,-40.48
Indore,9,2024,1350,1250,8
Jaipur,2,2023,22470,27700,-18.88
Jaipur,3,2023,27920,22470,24.25
Jaipur,4,2023,30800,27920,10.32
Jaipur,5,2023,34720,30800,12.73
Jaipur,6,2023,20020,34720,-42.34
Jaipur,7,2023,26970,20020,34.72
Jaipur,8,2023,16800,26970,-37.71
Jaipur,9,2023,54300,16800,223.21
Jaipur,10,2023,76900,54300,41.62
Jaipur,11,2023,77850,76900,1.24
Jaipur,12,2023,93830,77850,20.53
Jaipur,1,2024,47120,93830,-49.78
Jaipur,2,2024,60400,47120,28.18
Jaipur,3,2024,71100,60400,17.72
Jaipur,4,2024,22750,71100,-68
Jaipur,5,2024,18200,22750,-20
Jaipur,6,2024,17800,18200,-2.2
Jaipur,7,2024,16700,17800,-6.18
Jaipur,8,2024,15550,16700,-6.89
Jaipur,9,2024,22650,15550,45.66
Jaipur,10,2024,900,22650,-96.03
Kanpur,2,2023,6820,4450,53.26
Kanpur,3,2023,6200,6820,-9.09
Kanpur,4,2023,4450,6200,-28.23
Kanpur,5,2023,4100,4450,-7.87
Kanpur,6,2023,4100,4100,0
Kanpur,7,2023,2320,4100,-43.41
Kanpur,8,2023,4000,2320,72.41
Kanpur,9,2023,10100,4000,152.5
Kanpur,10,2023,23900,10100,136.63
Kanpur,11,2023,28100,23900,17.57
Kanpur,12,2023,19890,28100,-29.22
Kanpur,1,2024,14620,19890,-26.5
Kanpur,2,2024,20650,14620,41.24
Kanpur,3,2024,21300,20650,3.15
Kanpur,4,2024,3850,21300,-81.92
Kanpur,5,2024,13650,3850,254.55
Kanpur,6,2024,7300,13650,-46.52
Kanpur,7,2024,5900,7300,-19.18
Kanpur,8,2024,5300,5900,-10.17
Kanpur,9,2024,2550,5300,-51.89
Kolkata,2,2023,2550,3570,-28.57
Kolkata,3,2023,6650,2550,160.78
Kolkata,4,2023,4500,6650,-32.33
Kolkata,5,2023,6270,4500,39.33
Kolkata,6,2023,4600,6270,-26.63
Kolkata,7,2023,5550,4600,20.65
Kolkata,8,2023,5000,5550,-9.91
Kolkata,9,2023,7150,5000,43
Kolkata,10,2023,17450,7150,144.06
Kolkata,11,2023,20200,17450,15.76
Kolkata,12,2023,13530,20200,-33.02
Kolkata,1,2024,15690,13530,15.96
Kolkata,2,2024,15950,15690,1.66
Kolkata,3,2024,12150,15950,-23.82
Kolkata,4,2024,2500,12150,-79.42
Kolkata,5,2024,3200,2500,28
Kolkata,6,2024,7750,3200,142.19
Kolkata,7,2024,7150,7750,-7.74
Kolkata,8,2024,4300,7150,-39.86
Kolkata,9,2024,4250,4300,-1.16
Kolkata,10,2024,1500,4250,-64.71
Lucknow,2,2023,900,2770,-67.51
Lucknow,3,2023,2300,900,155.56
Lucknow,4,2023,900,2300,-60.87
Lucknow,5,2023,850,900,-5.56
Lucknow,6,2023,2400,850,182.35
Lucknow,7,2023,1720,2400,-28.33
Lucknow,8,2023,5000,1720,190.7
Lucknow,9,2023,7900,5000,58
Lucknow,10,2023,9750,7900,23.42
Lucknow,11,2023,13550,9750,38.97
Lucknow,12,2023,18250,13550,34.69
Lucknow,1,2024,8510,18250,-53.37
Lucknow,2,2024,8950,8510,5.17
Lucknow,3,2024,10450,8950,16.76
Lucknow,4,2024,2200,10450,-78.95
Lucknow,5,2024,2150,2200,-2.27
Lucknow,6,2024,2650,2150,23.26
Lucknow,7,2024,2400,2650,-9.43
Lucknow,8,2024,4350,2400,81.25
Lucknow,9,2024,1450,4350,-66.67
Mumbai,2,2023,6250,5750,8.7
Mumbai,3,2023,7270,6250,16.32
Mumbai,4,2023,5950,7270,-18.16
Mumbai,5,2023,11020,5950,85.21
Mumbai,6,2023,9570,11020,-13.16
Mumbai,7,2023,4700,9570,-50.89
Mumbai,8,2023,4500,4700,-4.26
Mumbai,9,2023,15600,4500,246.67
Mumbai,10,2023,23350,15600,49.68
Mumbai,11,2023,26350,23350,12.85
Mumbai,12,2023,21640,26350,-17.87
Mumbai,1,2024,14650,21640,-32.3
Mumbai,2,2024,20800,14650,41.98
Mumbai,3,2024,21450,20800,3.12
Mumbai,4,2024,3050,21450,-85.78
Mumbai,5,2024,5900,3050,93.44
Mumbai,6,2024,7600,5900,28.81
Mumbai,7,2024,3600,7600,-52.63
Mumbai,8,2024,9300,3600,158.33
Mumbai,9,2024,6700,9300,-27.96
Nagpur,2,2023,3400,2000,70
Nagpur,3,2023,6970,3400,105
Nagpur,4,2023,3550,6970,-49.07
Nagpur,5,2023,2800,3550,-21.13
Nagpur,6,2023,2820,2800,0.71
Nagpur,7,2023,5250,2820,86.17
Nagpur,8,2023,3000,5250,-42.86
Nagpur,9,2023,9250,3000,208.33
Nagpur,10,2023,14350,9250,55.14
Nagpur,11,2023,16650,14350,16.03
Nagpur,12,2023,14810,16650,-11.05
Nagpur,1,2024,8800,14810,-40.58
Nagpur,2,2024,12800,8800,45.45
Nagpur,3,2024,12650,12800,-1.17
Nagpur,4,2024,4700,12650,-62.85
Nagpur,5,2024,4400,4700,-6.38
Nagpur,6,2024,3850,4400,-12.5
Nagpur,7,2024,1750,3850,-54.55
Nagpur,8,2024,3700,1750,111.43
Nagpur,9,2024,2550,3700,-31.08
Pune,2,2023,46110,37300,23.62
Pune,3,2023,54320,46110,17.81
Pune,4,2023,38620,54320,-28.9
Pune,5,2023,39430,38620,2.1
Pune,6,2023,32170,39430,-18.41
Pune,7,2023,54460,32170,69.29
Pune,8,2023,27800,54460,-48.95
Pune,9,2023,88400,27800,217.99
Pune,10,2023,155950,88400,76.41
Pune,11,2023,169350,155950,8.59
Pune,12,2023,109030,169350,-35.62
Pune,1,2024,78150,109030,-28.32
Pune,2,2024,80950,78150,3.58
Pune,3,2024,97150,80950,20.01
Pune,4,2024,22400,97150,-76.94
Pune,5,2024,36850,22400,64.51
Pune,6,2024,14650,36850,-60.24
Pune,7,2024,19850,14650,35.49
Pune,8,2024,27650,19850,39.29
Pune,9,2024,26850,27650,-2.89
Pune,10,2024,850,26850,-96.83
Surat,2,2023,1600,4750,-66.32
Surat,3,2023,6770,1600,323.12
Surat,4,2023,3400,6770,-49.78
Surat,5,2023,4320,3400,27.06
Surat,6,2023,5470,4320,26.62
Surat,7,2023,6220,5470,13.71
Surat,8,2023,6000,6220,-3.54
Surat,9,2023,9100,6000,51.67
Surat,10,2023,17250,9100,89.56
Surat,11,2023,18250,17250,5.8
Surat,12,2023,17060,18250,-6.52
Surat,1,2024,16400,17060,-3.87
Surat,2,2024,11150,16400,-32.01
Surat,3,2024,16300,11150,46.19
Surat,4,2024,7000,16300,-57.06
Surat,5,2024,7250,7000,3.57
Surat,6,2024,4450,7250,-38.62
Surat,7,2024,4450,4450,0
Surat,8,2024,6400,4450,43.82
Surat,9,2024,2950,6400,-53.91
